营销日期,主打品类,人群类型,营销数量,转化买家数,转化率,营销内容,,,
20180606,冰箱洗衣机,冰洗上海大区浏览30天,6508,15,0.23%,冰箱洗衣机领券减千，变频8KG滚筒仅1599，多门冰箱2699元起→ t.suning.cn/UvaFbz,,,
20180606,冰箱洗衣机,冰洗广州大区浏览30天,4644,12,0.26%,冰箱洗衣机领券减千，变频8KG滚筒仅1599，多门冰箱2699元起→ t.suning.cn/UvaFbz,,,
20180606,冰箱洗衣机,冰洗成都大区浏览30天,5988,19,0.32%,冰箱洗衣机领券减千，变频8KG滚筒仅1599，多门冰箱2699元起→ t.suning.cn/UvaFbz,,,
20180606,冰箱洗衣机,冰洗南京大区浏览30天,18360,37,0.20%,冰箱洗衣机领券减千，变频8KG滚筒仅1599，多门冰箱2699元起→ t.suning.cn/ekQZre,,,
20180606,冰箱洗衣机,冰洗首购预测,11523,221,1.92%,抢购别犹豫→变频8KG滚筒仅1599，多门冰箱低至2699元！赠10年保障→ t.suning.cn/guO71s,,,
20180606,冰箱洗衣机,厨卫30天未购冰洗,33046,37,0.11%,绝代双娇，冰箱洗衣机放价来袭！变频8KG滚筒仅1599，多门2599元起→ t.suning.cn/juQzMn,,,
20180606,冰箱洗衣机,冰洗套购人群,15369,9,0.06%,绝代双娇，冰箱洗衣机放价来袭！变频8KG滚筒仅1599，多门2599元起→ t.suning.cn/HRFJnm,,,
20180606,冰箱洗衣机,冰洗催付人群,63,9,14.29%,再忙也别忘抢好货！您预定的冰箱已开启尾款支付~享电机压缩机十年保障→ t.suning.cn/3MLRz4,,,
20180606,冰箱洗衣机,冰洗实时加购,6239,666,10.67%,好价不等待，速抢更优惠！快把购物车的冰箱洗衣机带回家~享电机压缩机十年保障→ t.suning.cn/0wiYvo,,,
20180605,厨房小电器,首购预测微波炉,7989,52,0.65%,缤纷小电，好价先行！满减专区满500减40，格兰仕微波炉379元起。 t.suning.cn/jgymk4,,,
20180531,服饰,1天浏览未购,11984,588,4.91%," 
618服饰预热满499减150，耐克沙滩拖鞋179元，爆款秒杀先加购 t.suning.cn/akOD3e",,,
20180531,服饰,1天浏览未购,7447,389,5.22%,61重返童年，萌宝童装61元封顶，坐上时光机和宝宝一起嗨翻61 戳> t.suning.cn/Drsg4m,,,
20180604,服饰,7天加购，7天搜索，3天浏览,77671,836,1.08%,服饰超品满300减150最后一天，魏大勋同款七匹狼短T到手209元> t.suning.cn/U1Sbvm,,,
20180604,服饰,7天加购，7天搜索，3天浏览,59815,563,0.94%,"特卖茵曼品牌日满199减70,399减150，治愈系半身裙到手129元>> t.suning.cn/PnClWl",,,
20180604,服饰,7天加购，7天搜索，3天浏览,20426,138,0.68%,三叶草短T到手129元，运动品牌盛典，更多大牌满499减150，戳>> t.suning.cn/7Ltasm,,,
20180604,服饰,7天加购,8991,242,2.69%,服饰超品钜惠，SUPER会员领券立减110元，才子衬衫用券价189元！盛夏焕新衣> t.suning.cn/rYXr0o,,,
20180604,服饰,蓄水期领券未用,10741,300,2.79%,最后一天，110元服饰券你用了吗？才子衬衫用券价189！更多大牌叠加店铺券更划算> t.suning.cn/mioY3u,,,
20180604,服饰,蓄水期领券未用,36346,318,0.87%,您的150元服饰礼券今天就要过期啦！骆驼男鞋5折立减，限时抢购→ t.suning.cn/08jqYx,,,
20180604,服饰,蓄水期领券未用,654,17,2.60%,服装满199减100年中焕新第一波，今日即将结束！茵曼半身裙99，戳→ t.suning.cn/baqks0,,,
20180604,服饰,蓄水期领券未用,94190,391,0.42%,您的269减80服饰礼券今天就要过期啦！耐克T恤189，约惠不等人→ t.suning.cn/3OdmWz,,,
20180604,服饰,蓄水期领券未用,52944,233,0.43%,您的499减150年中焕新礼券今天即将过期！永久自行车349，动感一下>> t.suning.cn/5Gpme0,,,
20180604,服饰,蓄水期领券未用,71576,29,0.04%,您的499减160年中焕新礼券今天即将过期！COACH钱包券后340，抢>> t.suning.cn/5isa1s,,,
20180604,服饰,蓄水期领券未用,665,7,1.07%,您的500元投资金礼券今天即将过期！爱的投资，“金”益求“金”>> t.suning.cn/6pGdmg,,,
20180531,母婴,"苏州悠方150-30提醒短信
",3384,37,1.09%,六一去哪里，当然来苏宁，即日起至6月3日，苏宁红孩子悠方店为您打造欢享童趣嘉年华，玩具满299减100，服纺全场61折；20180601当天前20名进店小朋友还有惊喜礼盒，别忘记您还可使用150-30元预存券，这个六一的欢乐，我们承包了。,,,
20180601,母婴,奶粉15天访问 ,50974,3041,5.97%,61萌物驾到，奶粉领券满599减120元，启赋3券后273元、诺优能142元,,,
20180601,母婴,尿裤15天访问 ,56988,3659,6.42%,61萌物驾到，纸尿裤领券满399减100元，超薄纸尿裤单包17.4元包邮,,,
20180601,母婴,母婴15天访问 ,68206,1934,2.84%,61萌物驾到，用品玩具领券满188减100元，宝宝金水4瓶套装49元抢,,,
20180601,母婴,年度只买过一次母婴,236009,4009,1.70%,您的专属权益→全场1元包邮购！抽纸6包、湿巾10包、洗衣液3斤统统1元包邮！,,,
20180601,母婴,90天购买母婴,253757,7419,2.92%,61萌物驾到，领奶粉120神券、用品满188减100元，宝宝金水套装49元抢 t.suning.cn/SlAbc4,,,
20180601,母婴,实时加购,13570,5673,41.81%,61萌物驾到，领奶粉120神券、用品满188减100元，宝宝金水套装49元抢 t.suning.cn/SlAbc4,,,
20180601,母婴,30天购买奶粉、纸尿裤,27961,1388,4.96%, 61萌物驾到，奶粉抢120神券、用品满188减100元，宝宝金水套装49元抢 ,,,
20180602,母婴,上海新开店预存提醒,1804,458,25.39%,"红孩子预存会员您好,红孩子6月1日盛大开业!6月1日-4日全场七折起,购物满399减80,满899减200,满1699减400,购物满额抽奖!游乐开业特惠!金融新客购满50减20,1元超值换购.地址:嘉定宝龙2楼.不要让您的钱过期哦!【券有效期至6月4日】",,,
20180602,母婴,预存未用邀约到店,17947,3976,22.15%,"红孩子预存会员您好,您预存的20元现金券还未使用，有效期6月1日-4日哦【红孩子6月1日盛大开业，进店有礼，惊喜连连，快带宝贝来玩吧】",,,
20180606,母婴,"0606母婴实时加购	",7987,1989,24.90%,萌即正义→亨氏趣味饼干4.9元包邮，婴儿湿巾抽纸9.9元，奶粉满499减100 t.suning.cn/fmYvE3,,,
20180605,奶粉、用品,城市攻略母婴90天,179198,2906,1.62%,城市专享→每月5日抢母婴99减50神券！奶粉满999减200，湿巾3包9.9秒 t.suning.cn/BpaLLv,,,
20180605,奶粉、纸尿裤,"0605母婴实时加购	",8461,1945,22.99%,奶粉品类日，领券满999减200元！诺优能单听135元，花王单包直降89元拼团 t.suning.cn/gIFhwo,,,
20180606,清凉小电器,首购预测电风扇,5889,102,1.73%,周三慧生活，家居好物节！大宇第三代超节能风扇直降200元，给家人更多关爱。 t.suning.cn/1WZhmo,,,
20180531,热水器,蓄水期领券未用,630,75,11.90%, 感谢您预约林内热水器，200元专属红包已发到您的易购账户，6月1日0点助力抢购！请及时下单并核实收货信息哈！ ,,,
20180531,热水器,蓄水期领券未用,822,84,10.22%, 感谢您预约林内热水器，100元专属红包已发到您的易购账户，6月1日0点助力抢购！请及时下单并核实收货信息哈！ ,,,
20180601,热水器,蓄水期领券未用,888 ,233 ,26.24%,6月开门红，林内热水器爆“底价”，13升2999元，下单立减300元，更有100元红包券助力抢购！限20180601号当天使用！,,,
20180601,生活电器,收藏夹,695,14,2.01%,生活家电年中狂欢开启——低价秒杀9.9元起，苏泊尔红点煎锅29.9元抢。 t.suning.cn/bh4S7f,,,
20180601,生活电器,0601_嘉华6月_RMF访问,10068,42,0.42%,生活家电年中狂欢开启——低价秒杀9.9元起，苏泊尔红点煎锅29.9元抢。 t.suning.cn/CX7jue,,,
20180601,生活电器,7天加购,30248,624,2.06%,生活家电年中狂欢开启——低价秒杀9.9元起，苏泊尔红点煎锅29.9元抢。 t.suning.cn/08zma1,,,
20180601,生活电器,3天搜索,22620,385,1.70%,生活家电年中狂欢开启——低价秒杀9.9元起，苏泊尔红点煎锅29.9元抢。 t.suning.cn/0aPpqw,,,
20180601,生活电器,30天购买,36400,902,2.48%,生活家电年中狂欢开启——低价秒杀9.9元起，苏泊尔红点煎锅29.9元抢。,,,
20180601,生活电器,实时加购,11606,2494,21.49%,恭喜！你被小家电10元红包砸中啦，只限今天哦，全场9.9元起，快去使用吧！ t.suning.cn/UlawO5,,,
20180601,生活电器,提交未支付,14029,12001,85.54%,生活家电年中狂欢开启——低价秒杀9.9元起，苏泊尔红点煎锅29.9元抢,,,
20180601,生活电器,super会员,2554,83,3.25%,生活家电SUPER会员专场，领券立减80元！爱仕达锅具三件套券后99元 Go> t.suning.cn/NP9lAj,,,
20180601,生活电器,15天加购,8202,177,2.16%,恭喜！你被小家电10元红包砸中啦，秒杀低至9.9元，满额送好礼！去看看吧~ t.suning.cn/MfaqUh,,,
20180601,生活电器,15天搜索,15358,188,1.22%,恭喜！你被小家电10元红包砸中啦，秒杀低至9.9元，满额送好礼！去看看吧~ t.suning.cn/ssk4sg,,,
20180602,生活电器,首购预测,857,8,0.93%,生活家电年中狂欢继续——低价秒杀9.9元起，电水壶低至19.9元，手慢无。 t.suning.cn/SLJ3Wn,,,
20180602,生活电器,15天加购,2562,18,0.70%,生活家电年中狂欢继续——低价秒杀9.9元起，电水壶低至19.9元，手慢无。 t.suning.cn/xEjGbq,,,
20180602,生活电器,实时加购,10022,1573,15.70%,火速清空购物车！生活家居2件8.5折，好货全场9.9元起，20：00开抢！ t.suning.cn/SbJNFl,,,
20180603,生活电器,首购预测,2162,13,0.60%,生活家电年中狂欢继续——低价秒杀9.9元起，美的便携榨汁机低至19.9元。 t.suning.cn/RRhKXt,,,
20180603,生活电器,15天搜索,1956,8,0.41%,生活家电年中狂欢继续——低价秒杀9.9元起，美的便携榨汁机低至19.9元。 t.suning.cn/g0qee4,,,
20180604,生活电器,收藏夹,724,3,0.41%,缤纷小电，好价先行！满减专区满300减20，艾美特无叶柔风塔扇219元起。 t.suning.cn/Tbs2Id,,,
20180604,生活电器,7天加购,6395,103,1.61%,缤纷小电，好价先行！满减专区满300减20，艾美特无叶柔风塔扇219元起。 t.suning.cn/iWXLNz,,,
20180604,生活电器,30天购买,1528,26,1.70%,缤纷小电，好价先行！满减专区满300减20，艾美特无叶柔风塔扇219元起。 t.suning.cn/oooMhk,,,
20180604,生活电器,实时加购,8017,1093,13.63%,快看看您购物车的小家电宝贝哟！今日好价先行专场满500减40，请尽早抢付！ t.suning.cn/uac24e,,,
20180605,生活电器,7天搜索,26902,364,1.35%,缤纷小电，好价先行！满减专区满500减40，格兰仕微波炉379元起。 t.suning.cn/1aekkm,,,
20180605,生活电器,30天购买,28382,479,1.69%,缤纷小电，好价先行！满减专区满500减40，格兰仕微波炉379元起。 t.suning.cn/v2M32u,,,
20180605,生活电器,实时加购,7974,1212,15.20%,今天你立减100了吗？生活家电好价先行——苏宁支付随机立减，最高减100！ t.suning.cn/P5qg4y,,,
20180606,生活电器,双立人_潜在Super会员高访问,444,23,5.18%,双立人来真的！开通SUPER会员，领满150减149白菜券！限量1000名，Go> t.suning.cn/no6fue,,,
20180606,生活电器,双立人_潜在Super会员高客单,1331,2,0.15%,双立人来真的！开通SUPER会员，领满150减149白菜券！限量1000名，Go> t.suning.cn/NJh8lq,,,
20180606,生活电器,7天加购,20120,466,2.32%,周三慧生活，家居好物节！小米 IH黄金容量电饭煲限时379，嗨翻全场。 t.suning.cn/GhG3Kt,,,
20180606,生活电器,实时加购,8696,1276,14.67%,火速清空购物车！20180606大顺，小米高颜值电饭煲限时379，嗨翻全场！手慢无。 t.suning.cn/k4s6fw,,,
20180605,实时加购,实时加购,4885,325,6.65%,你眼光真好，品质好货别想跑！快到购物车把心水的冰箱洗衣机带回家~享十年保障→ t.suning.cn/0ONdWj,,,
20180531,数码,7天天加购,5418 ,49 ,0.90%,"10元抵200元！JBL无线蓝牙耳机429元抢,更可参与抽奖赢100元券→ t.suning.cn/6JnKfe",,,
20180601,数码,15天加购,7637 ,163 ,2.13%,大疆无人机限时直降850！小天才电话手表299元抢！大转盘抽奖赢100元券→ t.suning.cn/CBlaRl,,,
20180601,数码,7天搜索3天浏览,8910 ,290 ,3.25%,大疆无人机限时直降850！小天才电话手表299元抢！大转盘抽奖赢100元券→ t.suning.cn/bEVtIx,,,
20180601,数码,30天加购,8156 ,90 ,1.10%,大疆无人机限时直降850！小天才电话手表299元抢！大转盘抽奖赢100元券→ t.suning.cn/jc8Zlk,,,
20180601,数码,30天搜索,32571 ,188 ,0.58%,大疆无人机限时直降850！小天才电话手表299元抢！大转盘抽奖赢100元券→ t.suning.cn/732MJd,,,
20180601,数码,实时加购,2773 ,219 ,7.90%,喜欢就下手，抢到才甘心！您购物车里的宝贝还在等你哦，快来把它带回家吧！ t.suning.cn/ZVHTJp,,,
20180602,数码,30天加购,306 ,7 ,2.29%,疯抢618元神券！佳能M10微单1599元限时秒杀，小米平衡车1999元到手 t.suning.cn/rCdWBb,,,
20180602,数码,30天搜索,1116 ,17 ,1.52%,疯抢618元神券！佳能M10微单1599元限时秒杀，小米平衡车1999元到手 t.suning.cn/saBXba,,,
20180605,数码,提交未支付，30加购,2176,39,1.79%,61.8、618元券疯抢中→1599元佳能微单限时抢，JBL耳机388元到手 t.suning.cn/v42W9f,,,
20180605,数码,30搜索,31319,65,0.21%,61.8、618元券疯抢中→1599元佳能微单限时抢，JBL耳机388元到手 t.suning.cn/du0Wjm,,,
20180605,数码,周期购买,61547,19,0.03%,61.8、618元券疯抢中→1599元佳能微单限时抢，JBL耳机388元到手 t.suning.cn/0eOL30,,,
20180605,数码,数码实时加购,1834,89,4.93%,购物车的宝贝还在等你哟，火速下单，把它们带回家！佳能微单1599元抢，快来→ t.suning.cn/CRXLva,,,
20180606,数码,30天加购，提交未支付,23132,85,0.37%,定金最高翻20倍！佳能M10微单1599元秒，M100粉色微单2789元到手 t.suning.cn/KXHb3o,,,
20180606,数码,实时加购,1685,68,4.04%,喜欢就下手，抢到才甘心！您购物车里的宝贝还在等你哦，快来把它带回家吧！ t.suning.cn/q2QFjo,,,
20180606,玩具用品,"15天访问用品玩具	",19031,123,0.65%,夏日戏水欢乐多，玩具用品领券满69减20元！驱蚊水、洗澡玩具9.9元包邮>> t.suning.cn/ALBfmm,,,
20180606,洗护用品,"品类转入-5元券	",26581,153,0.58%,您的专属权益5元云券已到账，全场无门槛使用哦！洗护用品2件8折、3件7折！ t.suning.cn/F1i8tg,,,
20180601,洗衣机,15天浏览搜索未购,"39,309 ",524 ,1.33%,确认过眼神！聪明的人都来买这些冰箱和洗衣机>>下单最高减1500元&赠空气净化器，更享电机压缩机十年保~ ,,,
20180601,洗衣机,15天加购,"17,570 ",605 ,3.44%,洗衣机开门红，满额最高减1500&送吸尘器！美的变频滚筒低至1599元→ t.suning.cn/X7J9B3 ,,,
20180601,洗衣机,首购预测,"9,158 ",564 ,6.16%,六月选品质！冰洗下单最高减1500~对开门2498，变频8KG滚筒1599→ t.suning.cn/emquem,,,
20180604,洗衣机,7天加购,12441,105,0.84%,是谁的小眼睛，还没看到衣服的污渍？快把购物车的洗衣机带回家，享电机十年保哦→ t.suning.cn/hSjMFn,,,
20180605,洗衣机,3天浏览搜索洗衣机,7190,47,0.65%,你的净·透·白！品质洗衣机领券减千元，一招清洗全家衣~9KG滚筒仅1799→ t.suning.cn/6BHHju,,,
20180605,洗衣机,7天加购洗衣机,1140,17,1.49%,洗衣机宝宝来看过您，快到购物车找回Ta吧！8KG滚筒仅1599，电机十年保→ t.suning.cn/yuy22c,,,
20180606,洗衣机,洗衣机加购30天,6990,24,0.34%,「净」享优惠，领券减千！变频滚筒1599&电机十年保，快把购物车好货带回家→ t.suning.cn/dSTl8v,,,
20180606,洗衣机,洗衣机访问15天,9792,81,0.83%, 净衣更护衣！品质洗衣机领券减千元，8KG滚筒仅1599元&电机十年保障→ t.suning.cn/RhWlO1,,,
20180606,洗衣机,洗衣机访问90天,22850,29,0.13%,「衣」起焕新，品质洗衣机领券减千元~8KG滚筒仅1599，享电机十年保障→ t.suning.cn/XBbINx,,,
20180606,洗衣机,洗衣机浏览搜索30天,6541,11,0.17%,净衣更护衣！品质洗衣机领券减千元，8KG滚筒仅1599元&电机十年保障→ t.suning.cn/qeo6Tf,,,
20180601,夏季小电器,首购预测夏季电器,3665,132,3.60%,恭喜！你被小家电10元红包砸中啦，只限今天哦，全场9.9元起，快去使用吧！ t.suning.cn/UlawO5,,,
20180604,相机,30加购,26726,105,0.39%,疯抢618元券！佳能M10微单1599元限时秒杀，儿童手表279元抢，速来→ t.suning.cn/cowwUv,,,
20180604,相机,30搜索,28076,64,0.23%,疯抢618元券！佳能M10微单1599元限时秒杀，儿童手表279元抢，速来→ t.suning.cn/D1Ony4,,,
20180531,鞋类,近3个月购买4次,32566,1328,4.08%,运动户外年中盛典，狂欢红包499减159抢先领，耐克跑鞋349元戳>> t.suning.cn/vE7Jdm,,,
20180531,烟灶热水器,7天加购,9270,181,1.95%,厨卫打折过足瘾→爆款5折秒，烟灶699抢，热水器499起，钜惠先人一步，戳>,,,
20180531,整体,实时加购,2960,64,2.16%, 您购物车的厨卫宝贝正被疯抢！厨卫打折过足瘾，爆款限时直降，请及早抢付！下单记得核对收货信息哟！ ,,,
20180531,整体,实时加购,2445,185,7.57%,小主加购的宝贝别忘了，20180601服饰超品盛大开启，好货提前看，戳>>,,,
20180601,整体,30天加购,"27,956 ",559 ,2.00%, 童学节日好！厨卫爆款每1000减100，好货5折秒！点击领SUPER会员专享50元券 t.suning.cn/bh0QFz ,,,
20180601,整体,付费、试用加购、搜索及家装人群,"163,000 ","2,155 ",1.32%,厨卫爆款每1000减100，好货5折秒！开通SUPER会员再领200元券> t.suning.cn/jIbgAv,,,
20180601,整体,30天浏览搜索,"87,283 ","1,168 ",1.34%,童学好！厨卫开门放价，爆款每1000减100，好货5折秒，保价30天，立戳 t.suning.cn/UTtMR3,,,
20180601,整体,蓄水期领券未用,"11,386 ",696 ,6.11%,童学，你账户50元券还没用呢。厨卫爆款每1000减100，好货5折秒，抢先戳 t.suning.cn/WZXbKj,,,
20180601,整体,交叉品类-家电套购营销,"68,328 ",117 ,0.17%, 童学好！厨卫开门放价，爆款每1000减100，好货5折秒，保价30天，立戳 t.suning.cn/fQF5Yt ,,,
20180601,整体,实时加购,"7,150 ","1,297 ",18.14%, 您购物车的厨卫宝贝正被疯抢！厨卫开门红，爆款限时直降！大促期间，库存紧张，请及早抢付！下单记得核对收货信息哟！ ,,,
20180601,整体,百货发券129-30,113376,316,0.28%,送您129减30服饰焕新礼券，阿迪T恤99元限时抢购！嗨翻61，快乐如你→ t.suning.cn/UjsGbc,,,
20180601,整体,15天浏览百货、跨类,159799,1507,0.94%,61童心唤醒爱动的你，满499减150，NIKE跑鞋349元，生来好动>>,,,
20180601,整体,15天浏览搜索加购,31903,468,1.47%,年中焕新嗨翻61，每300减150礼券限时抢！陌森墨镜89，守护你的夏天>> t.suning.cn/I9dKxs,,,
20180601,整体,7天浏览搜索加购,9739,396,4.07%,盛夏焕新5折来袭，大牌满199减100，红豆居家19.8元起！扮出新自己>> t.suning.cn/gARva2,,,
20180601,整体,30天购买母婴、家装、家居,34202,69,0.20%,送您满269减80服饰礼券，红豆男装99元2件诚意钜惠！为自己换件新衣>> t.suning.cn/1Wrmqy,,,
20180601,整体,30天加购搜索浏览,129143,2573,1.99%,61童心唤醒爱美的你，满199减100，海澜T恤98元，年轻爱装扮>> t.suning.cn/D30UJj,,,
20180601,整体,实时加够,16524,1922,11.63%,61童心唤醒爱动的你，满499减150，NIKE跑鞋349元，生来好动>> t.suning.cn/aJdkAx,,,
20180601,整体,百货30天互动搜索浏览,34068,105,0.31%,服饰超品日每满300减150，最高减300，盛夏焕新衣，大牌任意减> t.suning.cn/icu0Ir,,,
20180602,整体,7天加购,17738,2002,11.29%,小主10元云券已发至您账户，满99任意叠加，618服饰大促戳> t.suning.cn/kSBJds,,,
20180602,整体,百货300减150用券提醒,38693,107,0.28%,您的满300减150券已入账户，服饰超品盛典来袭，红豆2件99元> t.suning.cn/xccG5a,,,
20180602,整体,百货用券提醒满499减150,19747,34,0.17%,您的满499减150券已入账户，618服饰大促，海澜短T到手58元> t.suning.cn/JbPfmc,,,
20180602,整体,实时加购,7388,960,12.99%,时尚服饰满300-150，彪马新款T恤到手价89元，立即加购> t.suning.cn/A7lIRt,,,
20180603,整体,7天加购，3天搜索,"12,413 ",202,1.64%,厨卫钜惠不停，爆款5折秒，烟灶998起，热水器499抢，保价30天，惠戳 t.suning.cn/MHFRVt,,,
20180604,整体,"实时加购	",12679,1505,11.87%,萌宝神券来助攻，用品玩具纸尿裤跨店满200减80元，手抛飞机9.9包邮>> t.suning.cn/RTRhCr,,,
20180604,整体,"7天加购，1天搜索,1天浏览","25,859 ",362 ,1.40%,厨卫钜惠放送，爆款每1000减100，好货5折秒，保价30天。限时福利速戳 t.suning.cn/71WZri,,,
20180605,整体,0604惠而浦券,43 ,6 ,13.95%,您在惠而浦预定活动中获得领399元惠而浦净水壶券的资格，已发送到您账户，有效期至2018年7月20日，请尽快使用哦！,,,
20180605,整体,0605实时加购,"3,433 ",383 ,11.16%,您购物车的厨卫宝贝正在被疯抢！厨卫钜惠不停，爆款限时直降，请及早抢付！下单记得核对收货信息哟！,,,
20180606,整体,7天加购，非付会员,"37,552 ",853 ,2.27%,厨卫家装爆款每1000减100，好货5折秒！开通SUPER会员再领200元券 > t.suning.cn/WPJna2,,,
20180606,整体,30天访问,"13,604 ",100 ,0.74%,100元券已到账！厨卫爆款每1000省100，好货5折秒，方太老板PK价相候 t.suning.cn/rEL5Qj,,,
20180606,整体,30天加购、搜索 去除北京,"48,812 ",127 ,0.26%,100元券已到账！厨卫爆款每1000省100，好货5折秒，方太老板PK价相候 t.suning.cn/rEL5Qj,,,
20180606,整体,未付尾款,134 ,13 ,9.70%,#尾款支付提醒#您预定的厨卫宝贝已进入付尾款阶段，厨卫家装品类日，爆款限时直降，库存有限，请尽快付尾款锁定宝贝！,,,
20180606,整体,0606惠而浦赠券,2 ,2 ,100.00%,您在惠而浦6月活动中获得领399元惠而浦净水壶券的资格，已发送到您账户，有效期至2018年7月20日，请尽快使用哦！,,,
20180606,整体,收购预测,"64,865 ",375 ,0.58%,100元券已到账！厨卫爆款每1000省100，好货5折秒，方太老板PK价相候 t.suning.cn/ZJj6Zt,,,
20180606,整体,0606实时加购,"5,236 ",689 ,13.16%,您购物车的厨卫宝贝正在被疯抢！厨卫家装品类日，爆款限时直降，请及早抢付！下单记得核对收货信息哟,,,
20180604,纸尿裤,"PUSH-15天访问尿裤	",46833,745,1.59%,萌宝提前购，夏季超薄纸尿裤领券满200减80元，手抛飞机玩具9.9元包邮 t.suning.cn/uO5sik,,,
